frame_id,baseline_region_id,pixel_count,bbox_x,bbox_y,bbox_w,bbox_h,center_x,center_y,estimated_distance_mm,matched_stereo_points,stereo_evidence,review_priority,source_color,baseline_overlay,filtered_overlay
15,4,9479,0,0,125,185,62,66,0,0,0,fragment_review,datasets\hand_occlusion_reappear\frames\000015_color.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0035\final_segmentation_frame_000015_overlay.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0040\final_segmentation_frame_000015_overlay.png
45,4,4808,0,359,64,121,27,428,0,0,0,fragment_review,datasets\hand_occlusion_reappear\frames\000045_color.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0035\final_segmentation_frame_000045_overlay.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0040\final_segmentation_frame_000045_overlay.png
75,4,12400,0,0,143,189,71,72,0,0,0,fragment_review,datasets\hand_occlusion_reappear\frames\000075_color.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0035\final_segmentation_frame_000075_overlay.png,analysis_runs\replay_hand_occlusion_roi_multi_component_002\hand_occlusion_reappear_candidate_0040\final_segmentation_frame_000075_overlay.png
