frame_id,baseline_region_id,pixel_count,bbox_x,bbox_y,bbox_w,bbox_h,center_x,center_y,estimated_distance_mm,matched_stereo_points,stereo_evidence,pixel_overlap_percent,pixel_overlap_pixels,baseline_label_pixels,review_priority,source_color,baseline_overlay,filtered_overlay
60,2,27115,0,0,156,329,60,104,0,0,0,49.478,12786,25842,fragment_review,datasets\hand_occlusion_reappear\frames\000060_color.png,analysis_runs\replay_hand_occlusion_roi_area_threshold_001\hand_occlusion_reappear_candidate_0035\final_segmentation_frame_000060_overlay.png,analysis_runs\replay_hand_occlusion_roi_area_threshold_001\hand_occlusion_reappear_candidate_0045\final_segmentation_frame_000060_overlay.png
105,1,97582,0,0,411,327,199,141,0,0,0,,,,fragment_review,datasets\hand_occlusion_reappear\frames\000105_color.png,analysis_runs\replay_hand_occlusion_roi_area_threshold_001\hand_occlusion_reappear_candidate_0035\final_segmentation_frame_000105_overlay.png,analysis_runs\replay_hand_occlusion_roi_area_threshold_001\hand_occlusion_reappear_candidate_0045\final_segmentation_frame_000105_overlay.png
