run_id,candidate_id,case_id,replay,command
far_cabinet_candidate_0003,candidate_0003,far_cabinet,datasets/far_cabinet,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --pcl-sample-step-px=3 --pcl-frame-interval=1 --infrared-canny-high=130 --track-smooth-percent=65 --min-depth-mm=250 --max-frames=600 --cluster-map-export=analysis_runs\far_cabinet_candidate_0003\cluster_map --final-segmentation-export=analysis_runs\far_cabinet_candidate_0003\final_segmentation
depth_hole_black_object_candidate_0003,candidate_0003,depth_hole_black_object,datasets/depth_hole_black_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --pcl-sample-step-px=3 --pcl-frame-interval=1 --infrared-canny-high=130 --track-smooth-percent=65 --min-depth-mm=250 --max-frames=600 --cluster-map-export=analysis_runs\depth_hole_black_object_candidate_0003\cluster_map --final-segmentation-export=analysis_runs\depth_hole_black_object_candidate_0003\final_segmentation
wall_table_background_candidate_0003,candidate_0003,wall_table_background,datasets/wall_table_background,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --pcl-sample-step-px=3 --pcl-frame-interval=1 --infrared-canny-high=130 --track-smooth-percent=65 --min-depth-mm=250 --max-frames=600 --cluster-map-export=analysis_runs\wall_table_background_candidate_0003\cluster_map --final-segmentation-export=analysis_runs\wall_table_background_candidate_0003\final_segmentation
near_single_object_candidate_0004,candidate_0004,near_single_object,datasets/near_single_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --pcl-sample-step-px=2 --infrared-canny-high=150 --track-miss-frames=3 --pcl-frame-interval=2 --infrared-canny-low=35 --max-frames=600 --cluster-map-export=analysis_runs\near_single_object_candidate_0004\cluster_map --final-segmentation-export=analysis_runs\near_single_object_candidate_0004\final_segmentation
near_adjacent_objects_candidate_0004,candidate_0004,near_adjacent_objects,datasets/near_adjacent_objects,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --pcl-sample-step-px=2 --infrared-canny-high=150 --track-miss-frames=3 --pcl-frame-interval=2 --infrared-canny-low=35 --max-frames=600 --cluster-map-export=analysis_runs\near_adjacent_objects_candidate_0004\cluster_map --final-segmentation-export=analysis_runs\near_adjacent_objects_candidate_0004\final_segmentation
far_cabinet_candidate_0004,candidate_0004,far_cabinet,datasets/far_cabinet,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --pcl-sample-step-px=2 --infrared-canny-high=150 --track-miss-frames=3 --pcl-frame-interval=2 --infrared-canny-low=35 --max-frames=600 --cluster-map-export=analysis_runs\far_cabinet_candidate_0004\cluster_map --final-segmentation-export=analysis_runs\far_cabinet_candidate_0004\final_segmentation
depth_hole_black_object_candidate_0004,candidate_0004,depth_hole_black_object,datasets/depth_hole_black_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --pcl-sample-step-px=2 --infrared-canny-high=150 --track-miss-frames=3 --pcl-frame-interval=2 --infrared-canny-low=35 --max-frames=600 --cluster-map-export=analysis_runs\depth_hole_black_object_candidate_0004\cluster_map --final-segmentation-export=analysis_runs\depth_hole_black_object_candidate_0004\final_segmentation
wall_table_background_candidate_0004,candidate_0004,wall_table_background,datasets/wall_table_background,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --pcl-sample-step-px=2 --infrared-canny-high=150 --track-miss-frames=3 --pcl-frame-interval=2 --infrared-canny-low=35 --max-frames=600 --cluster-map-export=analysis_runs\wall_table_background_candidate_0004\cluster_map --final-segmentation-export=analysis_runs\wall_table_background_candidate_0004\final_segmentation
near_single_object_candidate_0005,candidate_0005,near_single_object,datasets/near_single_object,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --depth-slice-mm=300 --min-area-px=1200 --pcl-cluster-tolerance-mm=50 --track-smooth-percent=75 --min-depth-mm=250 --max-frames=600 --cluster-map-export=analysis_runs\near_single_object_candidate_0005\cluster_map --final-segmentation-export=analysis_runs\near_single_object_candidate_0005\final_segmentation
near_adjacent_objects_candidate_0005,candidate_0005,near_adjacent_objects,datasets/near_adjacent_objects,.\x64\Release\D455.exe --cluster-map --quality-segmentation --color-segmentation --color-refine-depth-masks --stereo-contour-distance --depth-slice-mm=300 --min-area-px=1200 --pcl-cluster-tolerance-mm=50 --track-smooth-percent=75 --min-depth-mm=250 --max-frames=600 --cluster-map-export=analysis_runs\near_adjacent_objects_candidate_0005\cluster_map --final-segmentation-export=analysis_runs\near_adjacent_objects_candidate_0005\final_segmentation
