candidate_id,case_id,total_score,pass,cluster_coverage_p50,unknown_p50,near_score,far_score,temporal_score,frame_ms_p95,frame_ms_max,frame_over_100ms_count,sampled_frame_ms_p95,timing_source,merge_events,split_events,contour_lost_events,color_refresh_count,color_refresh_motion_count,color_refresh_unknown_spike_count,color_refresh_far_loss_count,color_cache_reuse_count,color_stereo_reuse_p50,color_async_submitted_count,color_async_applied_count,color_async_dropped_count,color_refresh_cooldown_skipped_count,color_refresh_roi_count,color_refresh_roi_pixels_p95,color_refresh_roi_candidate_pixels_p95,color_refresh_roi_rejected_empty_count,color_refresh_roi_rejected_large_count,color_refresh_roi_region_count,color_refresh_roi_stereo_reuse_count,color_refresh_roi_stereo_built_count,color_refresh_roi_stereo_failed_count,color_refresh_roi_preserved_stereo_count,color_refresh_roi_stereo_dropped_count,color_refresh_roi_stereo_dropped_pixels,roi_stereo_g1_preservation_pass,roi_stereo_g2_rebuild_pass,color_cache_age_p95,color_async_worker_ms_p95,color_async_worker_ms_positive_p95,run_id
candidate_0035,hand_occlusion_reappear_proxy,93.67,1,100.0,0.0,20.0,10.0,15.0,68.8496,77.678,0,77.1944,profile.csv,0,0,0,6,6,0,0,99,4.0,0,0,0,32,6,98560.0,98560.0,0,0,10,0,10,0,9,1,9103,1,1,34.8,0.0,,hand_occlusion_reappear_proxy_candidate_0035
candidate_0034,hand_occlusion_reappear_proxy,93.637,1,100.0,0.0,20.0,10.0,15.0,69.0688,84.297,0,83.9622,profile.csv,0,0,0,6,6,0,0,99,4.0,0,0,0,32,6,98560.0,98560.0,0,0,11,0,10,1,9,0,0,1,0,34.8,0.0,,hand_occlusion_reappear_proxy_candidate_0034
