candidate_id,case_id,total_score,pass,cluster_coverage_p50,unknown_p50,near_score,far_score,temporal_score,frame_ms_p95,frame_ms_max,frame_over_100ms_count,sampled_frame_ms_p95,timing_source,merge_events,split_events,contour_lost_events,color_refresh_count,color_refresh_motion_count,color_refresh_unknown_spike_count,color_refresh_far_loss_count,color_cache_reuse_count,color_stereo_reuse_p50,color_async_submitted_count,color_async_applied_count,color_async_dropped_count,color_refresh_cooldown_skipped_count,color_refresh_roi_count,color_refresh_roi_pixels_p95,color_refresh_roi_candidate_pixels_p95,color_refresh_roi_motion_mask_pixels_p95,color_refresh_roi_motion_bbox_pixels_p95,color_refresh_roi_after_padding_pixels_p95,color_refresh_roi_max_pixels_p50,color_refresh_roi_component_count,color_refresh_roi_selected_component_count,color_refresh_roi_component_clamped_count,color_refresh_roi_rejected_empty_count,color_refresh_roi_rejected_large_count,color_refresh_roi_region_count,color_refresh_roi_stereo_reuse_count,color_refresh_roi_stereo_built_count,color_refresh_roi_stereo_failed_count,color_refresh_roi_preserved_stereo_count,color_refresh_roi_stereo_dropped_count,color_refresh_roi_stereo_dropped_pixels,roi_stereo_g1_preservation_pass,roi_stereo_g2_rebuild_pass,color_cache_age_p95,color_async_worker_ms_p95,color_async_worker_ms_positive_p95,run_id
candidate_0030,hand_occlusion_reappear,93.868,1,100.0,0.0,20.0,10.0,15.0,67.5312,83.427,0,82.47240000000001,profile.csv,0,0,0,0,0,0,0,105,2.0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.8,0.0,,hand_occlusion_reappear_candidate_0030
candidate_0043,hand_occlusion_reappear,93.106,1,100.0,0.0,20.0,10.0,15.0,72.60979999999999,96.563,0,96.4385,profile.csv,0,0,0,7,7,0,0,98,2.0,0,0,0,62,7,137740.80000000002,137740.80000000002,1668.3,144595.2,196780.80000000002,184320.0,25,19,6,0,0,11,0,4,7,3,0,0,1,0,14.0,0.0,,hand_occlusion_reappear_candidate_0043
candidate_0040,hand_occlusion_reappear,93.03,1,100.0,0.0,20.0,10.0,15.0,73.1228,99.206,0,97.3127,profile.csv,0,0,0,7,7,0,0,98,2.0,0,0,0,62,7,214828.8,214828.8,1668.3,171494.4,212275.19999999998,215040.0,25,18,5,0,0,11,0,3,8,5,0,0,1,0,14.0,0.0,,hand_occlusion_reappear_candidate_0040
candidate_0041,hand_occlusion_reappear,92.862,1,100.0,0.0,20.0,10.0,15.0,74.23879999999998,96.406,0,95.8291,profile.csv,0,0,0,7,7,0,0,98,2.0,0,0,0,62,7,137740.80000000002,137740.80000000002,1668.3,144595.2,196780.80000000002,153600.0,25,19,6,0,0,11,0,4,7,3,0,0,1,0,14.0,0.0,,hand_occlusion_reappear_candidate_0041
candidate_0042,hand_occlusion_reappear,92.662,1,100.0,0.0,20.0,10.0,15.0,75.57319999999997,93.504,0,91.73760000000001,profile.csv,0,0,0,7,7,0,0,98,2.0,0,0,0,62,7,137740.80000000002,137740.80000000002,1668.3,144595.2,196780.80000000002,168960.0,25,19,6,0,0,11,0,4,7,3,0,0,1,0,14.0,0.0,,hand_occlusion_reappear_candidate_0042
candidate_0035,hand_occlusion_reappear,90.142,1,100.0,0.0,20.0,10.0,15.0,92.37979999999999,109.84,3,107.6785,profile.csv,0,0,0,7,7,0,0,98,2.0,0,0,0,62,0,,303744.0,1668.3,296832.0,303744.0,107520.0,25,25,0,0,7,0,0,0,0,0,0,0,0,0,14.0,0.0,,hand_occlusion_reappear_candidate_0035
