contour_id,persistence_bucket,long_run_count,run_count,bbox_width_p50,bbox_height_p50,bbox_area_percent_p50,foreground_area_percent_p50,mean_depth_mm_p50,center_radius_percent_p50,base_side,side,track_count,contour_count,frame_count,pair_count,binary_iou_min,binary_iou_p05,binary_iou_p50,binary_iou_p95,binary_iou_max,binary_iou_gt99_percent,occupancy_similarity_p05,occupancy_similarity_p50,occupancy_similarity_p95,binary_exact_adjacent_pair_count,binary_exact_adjacent_pair_percent,identity_scoped_binary_unique_value_count,identity_scoped_binary_repeated_frame_count,identity_scoped_binary_max_repeat_frequency,shape_only_binary_unique_value_count,identity_scoped_occupancy_unique_value_count,identity_scoped_occupancy_repeated_frame_count
38,medium_short,0,1,158.0,65.0,3.639323,1.111003,453.0,65.473516,256,64,1,1,375,374,7.246376811594203,16.34879886952426,35.13321528056137,72.3345287284634,100.0,0.5347593582887701,91.87835693359375,94.41757202148438,98.46076965332031,2,0.5347593582887701,373,2,2,373,373,2
38,medium_short,0,1,158.0,65.0,3.639323,1.111003,453.0,65.473516,256,32,1,1,375,374,5.0,14.596839959225282,33.841597191750765,72.46112237998648,100.0,0.5347593582887701,92.09526062011719,94.82345581054688,98.6260986328125,2,0.5347593582887701,373,2,2,373,373,2
38,medium_short,0,1,158.0,65.0,3.639323,1.111003,453.0,65.473516,256,16,1,1,375,374,0.0,12.013888888888886,40.0,90.0,100.0,1.3368983957219251,92.63099670410156,95.68634033203125,98.85612487792969,5,1.3368983957219251,268,107,27,268,373,2
38,medium_short,0,1,158.0,65.0,3.639323,1.111003,453.0,65.473516,256,8,1,1,375,374,0.0,0.0,20.0,100.0,100.0,14.705882352941176,94.06417846679688,96.85211181640625,99.25079345703125,55,14.705882352941176,23,352,79,23,373,2
39,medium_short,0,1,102.0,49.0,1.875651,0.569336,365.0,57.107902,256,256,1,1,28,27,19.666456891126494,24.64412742881631,100.0,100.0,100.0,81.48148148148148,96.36398315429688,100.0,100.0,22,81.48148148148148,6,22,6,6,6,22
39,medium_short,0,1,102.0,49.0,1.875651,0.569336,365.0,57.107902,256,128,1,1,28,27,20.405727923627683,25.509343636849653,100.0,100.0,100.0,81.48148148148148,96.37863159179688,100.0,100.0,22,81.48148148148148,6,22,6,6,6,22
39,medium_short,0,1,102.0,49.0,1.875651,0.569336,365.0,57.107902,256,64,1,1,28,27,19.704433497536947,22.955590915666136,100.0,100.0,100.0,81.48148148148148,96.41891479492188,100.0,100.0,22,81.48148148148148,6,22,6,6,6,22
39,medium_short,0,1,102.0,49.0,1.875651,0.569336,365.0,57.107902,256,32,1,1,28,27,23.076923076923077,27.666666666666664,100.0,100.0,100.0,81.48148148148148,96.69906616210938,100.0,100.0,22,81.48148148148148,6,22,6,6,6,22
39,medium_short,0,1,102.0,49.0,1.875651,0.569336,365.0,57.107902,256,16,1,1,28,27,22.22222222222222,30.0,100.0,100.0,100.0,81.48148148148148,96.91207885742188,100.0,100.0,22,81.48148148148148,6,22,6,6,6,22
39,medium_short,0,1,102.0,49.0,1.875651,0.569336,365.0,57.107902,256,8,1,1,28,27,0.0,0.0,100.0,100.0,100.0,85.18518518518519,97.60498046875,100.0,100.0,23,85.18518518518519,3,25,17,3,6,22
40,medium_short,0,2,105.0,90.5,3.0499675,1.3636065,2366.0,65.7027645,256,256,2,1,12,10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,100.0,2,10,6,2,2,10
40,medium_short,0,2,105.0,90.5,3.0499675,1.3636065,2366.0,65.7027645,256,128,2,1,12,10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,100.0,2,10,6,2,2,10
40,medium_short,0,2,105.0,90.5,3.0499675,1.3636065,2366.0,65.7027645,256,64,2,1,12,10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,100.0,2,10,6,2,2,10
40,medium_short,0,2,105.0,90.5,3.0499675,1.3636065,2366.0,65.7027645,256,32,2,1,12,10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,100.0,2,10,6,2,2,10
40,medium_short,0,2,105.0,90.5,3.0499675,1.3636065,2366.0,65.7027645,256,16,2,1,12,10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,100.0,2,10,6,2,2,10
40,medium_short,0,2,105.0,90.5,3.0499675,1.3636065,2366.0,65.7027645,256,8,2,1,12,10,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,10,100.0,2,10,6,2,2,10
42,medium_short,0,2,40.0,90.5,1.145833,0.432943,3456.0,69.146583,128,128,2,1,46,44,1.9801980198019802,20.93749724200623,100.0,100.0,100.0,72.72727272727273,87.3870849609375,100.0,100.0,32,72.72727272727273,14,32,6,14,14,32
42,medium_short,0,2,40.0,90.5,1.145833,0.432943,3456.0,69.146583,128,64,2,1,46,44,2.937249666221629,22.583941605839414,100.0,100.0,100.0,72.72727272727273,87.4359130859375,100.0,100.0,32,72.72727272727273,14,32,6,14,14,32
42,medium_short,0,2,40.0,90.5,1.145833,0.432943,3456.0,69.146583,128,32,2,1,46,44,1.694915254237288,20.666898954703832,100.0,100.0,100.0,72.72727272727273,87.5750732421875,100.0,100.0,32,72.72727272727273,14,32,6,14,14,32
42,medium_short,0,2,40.0,90.5,1.145833,0.432943,3456.0,69.146583,128,16,2,1,46,44,0.0,19.238329238329236,100.0,100.0,100.0,72.72727272727273,88.038330078125,100.0,100.0,32,72.72727272727273,14,32,6,14,14,32
42,medium_short,0,2,40.0,90.5,1.145833,0.432943,3456.0,69.146583,128,8,2,1,46,44,0.0,11.587301587301587,100.0,100.0,100.0,72.72727272727273,90.531005859375,100.0,100.0,32,72.72727272727273,12,34,8,12,14,32
43,medium_short,0,1,49.0,94.0,1.499349,0.401042,3450.0,63.509965,128,128,1,1,6,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5,100.0,1,5,6,1,1,5
43,medium_short,0,1,49.0,94.0,1.499349,0.401042,3450.0,63.509965,128,64,1,1,6,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5,100.0,1,5,6,1,1,5
43,medium_short,0,1,49.0,94.0,1.499349,0.401042,3450.0,63.509965,128,32,1,1,6,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5,100.0,1,5,6,1,1,5
43,medium_short,0,1,49.0,94.0,1.499349,0.401042,3450.0,63.509965,128,16,1,1,6,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5,100.0,1,5,6,1,1,5
43,medium_short,0,1,49.0,94.0,1.499349,0.401042,3450.0,63.509965,128,8,1,1,6,5,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,5,100.0,1,5,6,1,1,5
44,medium_short,0,1,132.0,60.0,2.578125,0.844076,361.0,57.838136,256,256,1,1,9,8,42.58600237247924,43.842591272628624,100.0,100.0,100.0,75.0,97.29049682617188,100.0,100.0,6,75.0,3,6,6,3,3,6
