scope,label,run_a,run_b,contour_id_a,contour_id_b,count,min,p01,p05,p50,p95,p99,max
cross_shared_long:aligned_frame,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,1,2,570,17.257683215130022,18.4275187178413,19.128911539632387,20.785219399538107,23.062543638219022,24.828073207132196,26.201923076923077
cross_shared_long:aligned_frame,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,1,3,570,9.722222222222223,10.091743119266056,10.550458715596331,11.415525114155251,11.990950226244344,12.183533046246017,12.698412698412698
cross_shared_long:aligned_frame,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,1,4,570,16.00985221674877,16.435645435645437,16.748768472906402,17.574257425742573,18.453865336658353,18.624773156549754,18.90547263681592
cross_shared_long:aligned_frame,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,1,5,570,13.793103448275861,14.074074074074074,14.356435643564355,15.211970074812967,16.25615763546798,16.67955112219451,17.121588089330025
cross_shared_long:aligned_frame,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,1,6,570,17.114914425427873,17.551641071966273,18.81188118811881,19.704433497536947,20.2970297029703,20.509552621928854,20.74074074074074
cross_shared_long:aligned_frame,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,1,7,570,4.197530864197531,4.4630739748912855,4.702970297029703,5.707196029776675,9.135802469135802,9.405940594059405,12.128712871287128
cross_shared_long:aligned_frame,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,1,9,570,12.903225806451612,13.086419753086421,13.366336633663368,14.215686274509803,15.06172839506173,38.01249862484562,41.19106699751861
cross_shared_long:aligned_frame,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,2,1,570,17.68867924528302,18.586035593405395,19.096698113207548,20.785219399538107,22.644711739183283,24.130561912026433,25.23148148148148
cross_shared_long:aligned_frame,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,2,3,570,8.121827411167512,9.444444444444445,10.29538777908343,12.5,14.133564762121557,14.990510339711289,16.48936170212766
cross_shared_long:aligned_frame,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,2,4,570,4.891304347826087,5.850731043862631,6.382978723404255,7.878787878787878,9.34949553370606,9.902640370037258,10.588235294117647
cross_shared_long:aligned_frame,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,2,5,570,6.508875739644971,11.15873015873016,12.263407876509005,14.411764705882351,17.006802721088434,18.11373873873873,19.310344827586206
cross_shared_long:aligned_frame,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,2,6,570,13.333333333333334,14.365920763022745,14.833862433862434,16.374269005847953,18.21122994652406,18.96985066215835,19.526627218934912
cross_shared_long:aligned_frame,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,2,7,570,2.797202797202797,3.5635764944275583,4.34490363913249,7.194244604316546,9.79020979020979,10.714285714285714,14.012738853503185
cross_shared_long:aligned_frame,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,2,9,570,9.289617486338798,9.57256188260422,10.191082802547772,11.949685534591195,13.797562893081759,14.737021276595732,15.432098765432098
cross_shared_long:aligned_frame,different_id,binary_contour_static_long_repeat_001,binary_contour_static_long_repeat_recheck_001,3,1,570,9.523809523809524,9.855389120987551,10.403435334872981,11.389521640091116,12.009237875288683,12.164626173151955,13.36405529953917
