persistence_bucket,side,track_count,contour_count,frame_count,pair_count,binary_iou_min,binary_iou_p05,binary_iou_p50,binary_iou_p95,binary_iou_max,binary_iou_gt99_percent,occupancy_similarity_p05,occupancy_similarity_p50,occupancy_similarity_p95,binary_exact_adjacent_pair_count,binary_exact_adjacent_pair_percent,identity_scoped_binary_unique_value_count,identity_scoped_binary_repeated_frame_count,identity_scoped_binary_max_repeat_frequency,shape_only_binary_unique_value_count,identity_scoped_occupancy_unique_value_count,identity_scoped_occupancy_repeated_frame_count
shared_long,512,14,7,7980,7966,6.51350420622817,63.82067504639142,88.15164152747703,98.81156783472599,100.0,3.7785588752196837,97.15070724487305,99.06730651855469,99.71961975097656,30,0.3766005523474768,7950,30,2,7950,7950,30
shared_long,256,16,8,9120,9104,6.652042067230144,64.55838343170666,88.73398443849247,99.04911462745618,100.0,5.404217926186292,97.16262817382812,99.10945892333984,99.72457885742188,93,1.0215289982425309,9027,93,3,9027,9027,93
shared_long,128,16,8,9120,9104,6.46081992734821,63.91072085808928,89.01233261202668,98.29002778075015,100.0,2.9876977152899826,97.18786239624023,99.12223815917969,99.73329544067383,94,1.0325131810193322,9026,94,3,9026,9027,93
shared_long,64,16,8,9120,9104,6.492146596858639,63.121225194132876,88.32684824902724,99.08424908424908,100.0,5.964411247803163,97.2775650024414,99.16191101074219,99.75318908691406,94,1.0325131810193322,8980,140,4,8980,9027,93
shared_long,32,16,8,9120,9104,6.584362139917696,64.36781609195403,90.9090909090909,99.50617283950618,100.0,8.655536028119508,97.4747085571289,99.2471694946289,99.78103637695312,319,3.5039543057996485,5467,3653,179,5467,9027,93
shared_long,16,16,8,9120,9104,0.0,50.0,94.73684210526316,100.0,100.0,34.86379613356766,97.99205780029297,99.34806823730469,99.81956481933594,2819,30.964411247803163,526,8594,798,526,9027,93
shared_long,8,16,8,9120,9104,0.0,60.0,100.0,100.0,100.0,76.05448154657293,98.33507537841797,99.47662353515625,99.86337661743164,6924,76.05448154657293,100,9020,1137,97,9027,93
single_run_long,256,3,2,1294,1291,6.776930512297283,19.445214238296927,90.63266307013242,100.0,100.0,6.27420604182804,89.6209716796875,99.395751953125,100.0,81,6.27420604182804,1213,81,6,1213,1213,81
single_run_long,128,3,2,1294,1291,7.645631067961165,20.298779010877702,90.58823529411765,100.0,100.0,6.27420604182804,89.6240234375,99.40032958984375,100.0,81,6.27420604182804,1213,81,6,1213,1213,81
single_run_long,64,3,2,1294,1291,6.9727891156462585,20.09043350506765,90.625,100.0,100.0,6.27420604182804,89.63470458984375,99.40948486328125,100.0,81,6.27420604182804,1213,81,6,1213,1213,81
single_run_long,32,3,2,1294,1291,4.964539007092198,18.918128654970758,91.80327868852459,100.0,100.0,10.224632068164214,89.68582153320312,99.4354248046875,100.0,132,10.224632068164214,696,598,171,696,1213,81
single_run_long,16,3,2,1294,1291,0.0,17.391304347826086,93.33333333333333,100.0,100.0,39.814097598760654,89.8223876953125,99.4842529296875,100.0,514,39.814097598760654,212,1082,465,212,1213,81
single_run_long,8,3,2,1294,1291,0.0,16.666666666666668,83.33333333333333,100.0,100.0,35.39891556932611,92.4560546875,99.58038330078125,100.0,457,35.39891556932611,53,1241,269,53,1213,81
medium_short,256,23,17,2186,2163,3.4200113058224986,17.736733943907165,53.60104048122257,100.0,100.0,33.148404993065185,92.06756591796875,97.49603271484375,100.0,717,33.148404993065185,1469,717,6,1469,1469,717
medium_short,128,53,43,2725,2672,1.9801980198019802,18.761793992355553,60.6574079404662,100.0,100.0,41.16766467065868,92.00607299804688,97.86148071289062,100.0,1100,41.16766467065868,1625,1100,6,1625,1625,1100
medium_short,64,53,43,2725,2672,2.937249666221629,18.244965405739556,60.832796045562006,100.0,100.0,41.16766467065868,92.06710815429688,97.92938232421875,100.0,1100,41.16766467065868,1625,1100,6,1625,1625,1100
medium_short,32,53,43,2725,2672,1.694915254237288,16.666666666666668,61.702127659574465,100.0,100.0,41.16766467065868,92.30445861816406,98.14300537109375,100.0,1100,41.16766467065868,1625,1100,6,1625,1625,1100
medium_short,16,53,43,2725,2672,0.0,13.636363636363637,72.72727272727273,100.0,100.0,41.76646706586826,92.85140991210938,98.52066040039062,100.0,1116,41.76646706586826,1279,1446,27,1027,1625,1100
medium_short,8,53,43,2725,2672,0.0,0.0,100.0,100.0,100.0,52.58233532934132,94.26589965820312,98.90518188476562,100.0,1405,52.58233532934132,306,2419,112,170,1625,1100
all_contours,512,14,7,7980,7966,6.51350420622817,63.82067504639142,88.15164152747703,98.81156783472599,100.0,3.7785588752196837,97.15070724487305,99.06730651855469,99.71961975097656,30,0.3766005523474768,7950,30,2,7950,7950,30
all_contours,256,42,27,12600,12558,3.4200113058224986,23.183655031364136,88.49309161095968,100.0,100.0,10.272336359292881,93.13636779785156,99.09992218017578,100.0,891,7.095078834209269,11709,891,6,11709,11709,891
all_contours,128,72,53,13139,13067,1.9801980198019802,24.17115013580935,88.89439762022806,100.0,100.0,11.119614295553685,92.97195434570312,99.12605285644531,100.0,1275,9.757404147853372,11864,1275,6,11864,11865,1274
all_contours,64,72,53,13139,13067,2.937249666221629,23.861503777723616,88.25136612021858,100.0,100.0,13.19354098109742,93.06427001953125,99.163818359375,100.0,1275,9.757404147853372,11818,1321,6,11818,11865,1274
all_contours,32,72,53,13139,13067,1.694915254237288,23.364485981308412,90.69767441860465,100.0,100.0,15.458789316599066,93.328857421875,99.24507141113281,100.0,1551,11.86959516338869,7788,5351,179,7653,11865,1274
all_contours,16,72,53,13139,13067,0.0,23.80952380952381,94.11764705882354,100.0,100.0,36.76436825591184,93.91983032226562,99.34043884277344,100.0,4449,34.04760082650953,2017,11122,798,1684,11865,1274
all_contours,8,72,53,13139,13067,0.0,0.0,100.0,100.0,100.0,67.23808066120762,95.3363037109375,99.47052001953125,100.0,8786,67.23808066120762,459,12680,1137,262,11865,1274
