scope,threshold_percent,true_positive_count,false_negative_count,false_positive_count,true_negative_count,true_positive_percent,false_negative_percent,false_positive_percent,true_negative_percent,balanced_accuracy_percent,precision_percent
within_all:binary_contour_static_long_repeat_001,65.3,5494,1079,658,34388,83.58436026167655,16.41563973832345,1.8775323860069624,98.12246761399304,90.8534139378348,89.30429128738622
within_long:binary_contour_static_long_repeat_001,65.3,4865,256,658,19862,95.00097637180238,4.9990236281976195,3.206627680311891,96.7933723196881,95.89717434574524,88.08618504435995
within_all:binary_contour_static_long_repeat_recheck_001,65.3,5454,1040,661,33627,83.98521712349861,16.014782876501386,1.9277881474568361,98.07221185254316,91.02871448802088,89.19051512673754
within_long:binary_contour_static_long_repeat_recheck_001,65.3,4799,322,661,19859,93.71216559265768,6.2878344073423165,3.2212475633528266,96.77875243664717,95.24545901465243,87.89377289377289
within_all:combined,65.3,10948,2119,1319,68015,83.78357694956762,16.216423050432383,1.9023855539850578,98.09761444601494,90.94059569779128,89.2475747941632
within_long:combined,65.3,9664,578,1319,39721,94.35657098223004,5.643429017769961,3.2139376218323585,96.78606237816764,95.57131668019883,87.99053082035874
cross_shared_long:aligned_frame,65.3,4179,381,173,31747,91.64473684210526,8.35526315789474,0.5419799498746867,99.45802005012531,95.55137844611528,96.0248161764706
