candidate_id,case_id,total_score,pass,cluster_coverage_p50,unknown_p50,near_score,far_score,temporal_score,frame_ms_p95,frame_ms_max,frame_over_100ms_count,sampled_frame_ms_p95,timing_source,merge_events,split_events,contour_lost_events,color_refresh_count,color_refresh_motion_count,color_refresh_unknown_spike_count,color_refresh_far_loss_count,color_cache_reuse_count,color_stereo_reuse_p50,color_async_submitted_count,color_async_applied_count,color_async_dropped_count,color_refresh_cooldown_skipped_count,color_refresh_roi_count,color_refresh_roi_pixels_p95,color_refresh_roi_candidate_pixels_p95,color_refresh_roi_motion_mask_pixels_p95,color_refresh_roi_motion_bbox_pixels_p95,color_refresh_roi_after_padding_pixels_p95,color_refresh_roi_max_pixels_p50,color_refresh_roi_component_count,color_refresh_roi_selected_component_count,color_refresh_roi_component_clamped_count,color_refresh_roi_rejected_empty_count,color_refresh_roi_rejected_large_count,color_refresh_roi_region_count,color_refresh_roi_stereo_reuse_count,color_refresh_roi_stereo_built_count,color_refresh_roi_stereo_failed_count,color_refresh_roi_preserved_stereo_count,color_refresh_roi_stereo_dropped_count,color_refresh_roi_stereo_dropped_pixels,roi_stereo_g1_preservation_pass,roi_stereo_g2_rebuild_pass,color_cache_age_p95,color_async_worker_ms_p95,color_async_worker_ms_positive_p95,run_id
candidate_0030,hand_occlusion_reappear,93.407,1,100.0,0.0,20.0,10.0,15.0,70.60619999999999,88.089,0,85.8528,profile.csv,0,0,0,0,0,0,0,105,2.0,0,0,0,0,0,,,,,,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,113.8,0.0,,hand_occlusion_reappear_candidate_0030
candidate_0040,hand_occlusion_reappear,92.987,1,100.0,0.0,20.0,10.0,15.0,73.40759999999999,110.43,1,107.18040000000002,profile.csv,0,0,0,7,7,0,0,98,2.0,0,0,0,62,7,214828.8,214828.8,1668.3,171494.4,212275.19999999998,215040.0,25,18,5,0,0,11,0,3,8,5,0,0,1,0,14.0,0.0,,hand_occlusion_reappear_candidate_0040
candidate_0038,hand_occlusion_reappear,92.732,1,100.0,0.0,20.0,10.0,15.0,75.10859999999998,101.176,1,98.8726,profile.csv,0,0,0,7,7,0,0,98,2.0,0,0,0,62,7,87820.8,87820.8,1668.3,143270.4,196780.80000000002,107520.0,25,17,7,0,0,9,0,4,5,2,0,0,1,0,14.0,0.0,,hand_occlusion_reappear_candidate_0038
candidate_0035,hand_occlusion_reappear,90.113,1,100.0,0.0,20.0,10.0,15.0,92.5756,117.13,5,114.42819999999999,profile.csv,0,0,0,7,7,0,0,98,2.0,0,0,0,62,0,,303744.0,1668.3,296832.0,303744.0,107520.0,25,25,0,0,7,0,0,0,0,0,0,0,0,0,14.0,0.0,,hand_occlusion_reappear_candidate_0035
