candidate_id,case_id,total_score,pass,cluster_coverage_p50,unknown_p50,near_score,far_score,temporal_score,frame_ms_p95,frame_ms_max,frame_over_100ms_count,sampled_frame_ms_p95,timing_source,merge_events,split_events,contour_lost_events,color_refresh_count,color_refresh_motion_count,color_refresh_unknown_spike_count,color_refresh_far_loss_count,color_cache_reuse_count,color_stereo_reuse_p50,color_async_submitted_count,color_async_applied_count,color_async_dropped_count,color_refresh_cooldown_skipped_count,color_refresh_roi_count,color_refresh_roi_pixels_p95,color_refresh_roi_candidate_pixels_p95,color_refresh_roi_motion_mask_pixels_p95,color_refresh_roi_motion_bbox_pixels_p95,color_refresh_roi_after_padding_pixels_p95,color_refresh_roi_max_pixels_p50,color_refresh_roi_component_count,color_refresh_roi_selected_component_count,color_refresh_roi_component_clamped_count,color_refresh_roi_rejected_empty_count,color_refresh_roi_rejected_large_count,color_refresh_roi_region_count,color_refresh_roi_stereo_reuse_count,color_refresh_roi_stereo_built_count,color_refresh_roi_stereo_failed_count,color_refresh_roi_preserved_stereo_count,color_refresh_roi_stereo_dropped_count,color_refresh_roi_stereo_dropped_pixels,roi_stereo_g1_preservation_pass,roi_stereo_g2_rebuild_pass,color_cache_age_p95,color_async_worker_ms_p95,color_async_worker_ms_positive_p95,run_id
candidate_0046,hand_occlusion_reappear,93.386,1,100.0,0.0,20.0,10.0,15.0,70.744,94.391,0,94.12819999999999,profile.csv,0,0,0,7,7,0,0,98,2.0,0,0,0,62,7,182016.0,182016.0,1668.3,166636.8,202828.80000000002,208896.0,25,16,6,0,0,8,0,2,6,5,0,0,1,0,14.0,0.0,,hand_occlusion_reappear_candidate_0046
candidate_0040,hand_occlusion_reappear,92.886,1,100.0,0.0,20.0,10.0,15.0,74.08179999999999,105.859,1,103.0666,profile.csv,0,0,0,7,7,0,0,98,2.0,0,0,0,62,7,214828.8,214828.8,1668.3,171494.4,212275.19999999998,215040.0,25,18,5,0,0,11,0,3,8,5,0,0,1,0,14.0,0.0,,hand_occlusion_reappear_candidate_0040
candidate_0045,hand_occlusion_reappear,92.486,1,100.0,0.0,20.0,10.0,15.0,76.74879999999997,96.478,0,95.42139999999999,profile.csv,0,0,0,7,7,0,0,98,2.0,0,0,0,62,7,182016.0,182016.0,1668.3,166636.8,202828.80000000002,205824.0,25,16,6,0,0,8,0,2,6,5,0,0,1,0,14.0,0.0,,hand_occlusion_reappear_candidate_0045
candidate_0044,hand_occlusion_reappear,92.434,1,100.0,0.0,20.0,10.0,15.0,77.09199999999997,102.684,1,99.228,profile.csv,0,0,0,7,7,0,0,98,2.0,0,0,0,62,7,182016.0,182016.0,1668.3,166636.8,202828.80000000002,199680.0,25,16,6,0,0,8,0,2,6,5,0,0,1,0,14.0,0.0,,hand_occlusion_reappear_candidate_0044
candidate_0035,hand_occlusion_reappear,89.868,1,100.0,0.0,20.0,10.0,15.0,94.21019999999999,122.81,3,118.20680000000002,profile.csv,0,0,0,7,7,0,0,98,2.0,0,0,0,62,0,,303744.0,1668.3,296832.0,303744.0,107520.0,25,25,0,0,7,0,0,0,0,0,0,0,0,0,14.0,0.0,,hand_occlusion_reappear_candidate_0035
